date,key,name,AM,PM,ISCS
2019-03-19 0:00,93,북춘천,서리 결빙,연무,て1930-てゎ2100-てゎ2400-
2019-03-22 0:00,93,북춘천,박무 서리 결빙,,こ0030-こゎ0300-こゎ0600-0845.
2019-03-23 0:00,93,북춘천,서리 결빙,진눈깨비 박무 노을 서리 결빙,う1230-1350. こ1245-1430.
2019-03-24 0:00,93,북춘천,서리 결빙,노을,
2019-03-31 0:00,93,북춘천,박무 ぁ,서리,こ0030-こわ0300-こゎ0600-こゎ0900-1035. -ぁ-ぁゎ0300-0440.
2019-04-01 0:00,93,북춘천,서리 결빙 노을,서리,
2019-04-02 0:00,93,북춘천,서리 결빙,,
2019-04-03 0:00,93,북춘천,서리 결빙,,
2019-04-04 0:00,93,북춘천,서리 결빙,노을,
2019-04-15 0:00,93,북춘천,이슬 서리 결빙,,
2019-04-16 0:00,93,북춘천,서리 이슬,,
2019-10-27 0:00,93,북춘천,이슬 박무 서리,,こ0530-こわ0600-こゎ0900-1030.
2019-10-28 0:00,93,북춘천,이슬 박무 서리,ぁ 박무,こ0121-こゎ0300-こわ0600-こわ0900-1120. ぁ2230-ぁゎ2400- こ2330-こゎ2400-
2019-10-30 0:00,93,북춘천,이슬 서리 결빙 박무 안개,이슬,こ0750-よりぐ0830-ぐゎ0900-らりこ0903-0945.
2019-11-05 0:00,93,북춘천,이슬 서리 박무,노을 이슬,こ0540-こゎ0600-こゐ0900-1130.
2019-11-06 0:00,93,북춘천,박무 이슬 안개 서리,연무 박무 이슬,こ0040-こゎ0300-よりぐ0540-ぐゎ0600-よるぐ0640-らるぐ0740-よるぐ0840-ぐわ0900-らるぐ0920-らりこ0950-こゎ1200-1320. て1315-1540. こ1830-こゎ2100-こゎ2400-
2019-11-07 0:00,93,북춘천,이슬 박무,노을 이슬 서리,-こ-こゎ0300-こゎ0600-1040.
2019-11-08 0:00,93,북춘천,서리 결빙,노을 서리,
2019-11-09 0:00,93,북춘천,서리 결빙,노을 이슬 서리,
2019-11-10 0:00,93,북춘천,서리 결빙,ぁ 박무,ぁ2110-2255. こ2140-こゎ2400-
2019-11-12 0:00,93,북춘천,이슬 박무 서리 안개,박무 이슬,こ0240-こゎ0300-よりぐ0420-ぐゎ0600-よるぐ0635-らるぐ0835-ぐゎ0900-らりこ0930-こゎ1200-1410.
2019-11-13 0:00,93,북춘천,이슬 서리 박무 안개,ぁ 박무,こ0140-よりぐ0240-ぐゎ0300-よるぐ0330-らるぐ0440-らりこ0550-こわ0600-よりぐ0640-らりこ0830-こゐ0900-こわ1200-こわ1500-こゐ1800-1955. ぁ1350-ぁゎ1500-1730.
2019-11-20 0:00,93,북춘천,결빙 서리,결빙,
2019-11-21 0:00,93,북춘천,결빙 서리 노을,,
2019-11-22 0:00,93,북춘천,서리 결빙 노을,이슬 서리 결빙,
2019-11-23 0:00,93,북춘천,서리 결빙,이슬 ぁ,ぁ2140-2155.
2019-11-25 0:00,93,북춘천,ぁ,노을 이슬 서리,ぁ0645-0805.
2019-11-26 0:00,93,북춘천,서리 결빙,,
2019-11-27 0:00,93,북춘천,이슬 서리 박무 결빙 낮은안개,서리 결빙,こ0530-こゎ0600-よりづ0730-よるづ0750-づわ0900-らるづ0925-らりこ0940-1035.
2019-11-28 0:00,93,북춘천,서리 결빙 ぁ,이슬 서리 결빙,ぁ0855-ぁゎ0900-0940. ぁ1050-1130.
2019-11-29 0:00,93,북춘천,서리 결빙 박무 낮은안개,박무 서리 결빙,こ0330-こわ0600-よりづ0620-よるづ0640-らるづ0740-づゎ0900-らりこ0940-こゎ1200-1240.
2019-11-30 0:00,93,북춘천,서리 결빙,,
2019-12-02 0:00,93,북춘천,박무 결빙,결빙 서리,-こ-0050.
2019-12-03 0:00,93,북춘천,서리 결빙 노을 눈,눈 서리 결빙,ぅ1015-ぅゎ1200-1215.
2019-12-04 0:00,93,북춘천,서리 결빙 박무,결빙 서리,こ0330-こわ0600-0735.
2019-12-06 0:00,93,북춘천,결빙 서리,서리 결빙,
2019-12-07 0:00,93,북춘천,서리 결빙 눈 박무 신적설 적설,적설 박무 서리 결빙,ぅ0650-ぅゎ0900-1130. こ0730-こわ0900-こわ1200-1430. こ1830-こわ2100-こわ2400-
2019-12-08 0:00,93,북춘천,서리 결빙 박무,연무 박무 서리 결빙,-こ-こわ0300-こわ0600-こわ0900-こゎ1200-1255. て1250-1345. こ1930-こゎ2100-こわ2400-
2019-12-09 0:00,93,북춘천,박무 서리 결빙,연무 박무 ぁ,-こ-こわ0300-こわ0600-こわ0900-こゎ1200-1425. て1420-てゎ1500-1655. こ1650-こゎ1800-こわ2100-こわ2400- ぁ2140-ぁゎ2400-
2019-12-12 0:00,93,북춘천,결빙,결빙 서리,
2019-12-13 0:00,93,북춘천,서리 결빙,진눈깨비 눈,う2205-ぅ2250-ぅゎ2400-
2019-12-14 0:00,93,북춘천,박무 신적설 적설 눈 진눈깨비 결빙 낮은안개,박무 서리 결빙 달무리,こ0035-こゎ0300-こゎ0600-こゐ0900-よりづ0915-らりこ0950-1125. -ぅ-0155. ぅ0220-う0250-うゎ0300-0340. こ1930-こゎ2100-2340. ば2150-2350.
2019-12-15 0:00,93,북춘천,서리 결빙 박무,서리 결빙,こ0730-こゎ0900-1040.
2019-12-16 0:00,93,북춘천,박무 서리 결빙 안개,박무 이슬,こ0330-こゎ0600-よりぐ0730-ぐゎ0900-らりこ1140-こゐ1200-1340. こ1930-こゎ2100-こゎ2400-
2019-12-18 0:00,93,북춘천,박무,박무 서리 결빙,こ0220-こゎ0300-こゎ0600-こゎ0900-こゎ1200-こゎ1500-1530.
2019-12-19 0:00,93,북춘천,박무 서리 결빙,노을 결빙 서리,こ0140-こゎ0300-こゎ0600-こゎ0900-0930.
2019-12-20 0:00,93,북춘천,서리 결빙,결빙 서리,
2019-12-21 0:00,93,북춘천,서리 결빙,박무,こ2130-こゎ2400-
2019-12-22 0:00,93,북춘천,박무 서리 결빙,연무 박무 서리 ぁ,-こ-こゎ0300-こわ0600-こわ0900-こゎ1200-1230. て1225-てゎ1500-1745. こ1740-こゎ1800-こゎ2100-こわ2400- ぁ2350-ぁゎ2400-
2019-12-23 0:00,93,북춘천,진눈깨비 눈 박무 신적설 적설,박무 서리 결빙,-う-う0025-ぅ0125-ぅゎ0300-0330. -こ-こわ0300-こゐ0600-こゐ0900-こゎ1200-こゎ1500-こゎ1800-こゎ2100-こゎ2400-
2019-12-24 0:00,93,북춘천,안개 박무 서리 결빙,연무 박무 서리 결빙,-ぐ-よりぐ0220-よるぐ0240-ぐわ0300-らるぐ0515-らりこ0535-こわ0600-こゎ0900-こゎ1200-1250. て1245-1330. こ2040-こゎ2100-こゎ2400-
2019-12-25 0:00,93,북춘천,서리 결빙 박무 안개,연무 박무 결빙,-こ-こわ0300-よりぐ0340-らりこ0550-こゐ0600-こわ0900-こわ1200-1355. て1350-1440. こ2040-こゎ2100-こゎ2400-
2019-12-27 0:00,93,북춘천,서리 결빙 박무 노을,서리 결빙,こ0630-0740.
2019-12-28 0:00,93,북춘천,서리 결빙,,
2019-12-29 0:00,93,북춘천,서리 결빙 박무,박무,こ0230-こゎ0300-こゎ0600-0750. こ2320-こゎ2400-
2020-01-01 0:00,93,북춘천,결빙 눈 박무 신적설 적설,박무 결빙 서리,ぅ0250-ぅゎ0300-0340. ぅ0445-ぅゎ0600-ぅゎ0900-1145. こ0720-こゎ0900-こゎ1200-1230. こ2310-こわ2400-
2020-01-02 0:00,93,북춘천,서리 결빙 박무,박무 결빙 서리,-こ-こわ0300-こわ0600-こゎ0900-こゎ1200-1215. こ1945-こゎ2100-こわ2400-
2020-01-03 0:00,93,북춘천,박무 서리 결빙 연무,연무 노을 서리 결빙,-こ-こわ0300-こわ0600-こゐ0900-1130. て1125-てゎ1200-1250.
2020-01-04 0:00,93,북춘천,서리 결빙 박무,서리 결빙,こ0520-こゎ0600-0850.
2020-01-05 0:00,93,북춘천,서리 결빙 노을,햇무리 채운 결빙 서리 박무,は1610-び1610-1640.1640. こ2345-こゎ2400-
